dataset,embA,evalTypeA,embB,evalTypeB,rho,pearsons,rho_pairs,ds_pairs
EN_SEMEVAL17.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.6102566673467514,0.564143340358468,398,500
EN_SIMLEX-999-Adj.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.5321330509626959,0.4642906047400485,109,111
EN_SIMLEX-999-Ver.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.21921103456545238,0.31256548065863765,222,222
EN_WS-353-REL.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.46908077014166055,0.44362763461710597,247,252
EN_WS-353-ALL.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.531959643975651,0.49948733687231966,347,353
EN_SIMVERB3500.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.3175616333364306,0.3614978077974059,3427,3500
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.5402538471221905,0.5536585191990099,174,287
EN_SIMLEX-999-Nou.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.38377110164875267,0.40023319335350954,659,666
EN_RG-65.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.6643572985896057,0.6738674691934956,64,65
EN_MEN-TR-3k.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.562107620605174,0.5029313391113739,2800,3000
EN_SIMLEX-999.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.36905742446505657,0.3887564178671915,990,999
EN_MTurk-771.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.5197678643062967,0.41244372062289275,758,771
EN_YP-130.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.5205799203498161,0.6312212714764465,129,130
EN_WS-353-SIM.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.6166081141588002,0.6040644294892634,201,203
EN_VERB-143.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.01892469255667506,0.061241591246719976,67,144
EN_MC-30.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.6836655542318181,0.6260549851459288,30,30
EN_RW-STANFORD.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.3528746742438185,0.30477459892085457,1055,2034
EN_SEMEVAL17.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.6546100194754635,0.6284161874879056,446,500
EN_SIMLEX-999-Adj.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.20138463937665657,0.31911786488016153,111,111
EN_SIMLEX-999-Ver.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.13325600463037657,0.23960586247683532,222,222
EN_WS-353-REL.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.5391096079086939,0.5081819233055855,248,252
EN_WS-353-ALL.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.6431724513732785,0.5942551505844862,349,353
EN_SIMVERB3500.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.31789283936756846,0.3646517895338809,3500,3500
EN_MTurk-287.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.534469482192394,0.5754211299805592,180,287
EN_SIMLEX-999-Nou.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.48385976109182777,0.4959841161419472,666,666
EN_RG-65.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.7978135395838246,0.766090331173243,65,65
EN_MEN-TR-3k.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.640539469705616,0.6069650194967291,2990,3000
EN_SIMLEX-999.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.3799200568176787,0.40857687177974367,999,999
EN_MTurk-771.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.5773633907558507,0.4915873929116602,768,771
EN_YP-130.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.5499657859759401,0.6418501278188685,130,130
EN_WS-353-SIM.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.7262486725856635,0.7129335150793098,202,203
EN_VERB-143.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,-0.07433095339318994,-0.0937581100856977,69,144
EN_MC-30.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.8245184737926082,0.7320629501090598,30,30
EN_RW-STANFORD.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.25572222320292637,0.2601713438697657,1432,2034
EN_SEMEVAL17.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.7532483655813829,0.7424161882814982,491,500
EN_SIMLEX-999-Adj.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.5564189019849605,0.5717361933797656,111,111
EN_SIMLEX-999-Ver.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.4162694661177693,0.463532857515484,222,222
EN_WS-353-REL.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.44451480520323144,0.4284871968053087,250,252
EN_WS-353-ALL.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.5974534824237175,0.5781809007389159,351,353
EN_SIMVERB3500.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.41685453686439394,0.4516820106090284,3500,3500
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.6333276268928205,0.6661348846414576,276,287
EN_SIMLEX-999-Nou.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.4933628337309243,0.5233835779374258,666,666
EN_RG-65.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.7712515069498247,0.8139145979085033,65,65
EN_MEN-TR-3k.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.7306129011323467,0.708496273412598,3000,3000
EN_SIMLEX-999.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.48822076264088926,0.5126227766308366,999,999
EN_MTurk-771.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.5832487396771341,0.540869241617068,771,771
EN_YP-130.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.7363384701245085,0.7590459660443118,130,130
EN_WS-353-SIM.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.747566199683964,0.7658808015768056,203,203
EN_VERB-143.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,-0.08438036443052009,-0.026162032176114645,72,144
EN_MC-30.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.8222845359987222,0.8516233910321797,30,30
EN_RW-STANFORD.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.39498931173777635,0.3817030844045583,1578,2034
EN_SEMEVAL17.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.7186413675898203,0.714939934477701,329,500
EN_SIMLEX-999-Adj.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.507738988191122,0.4839651800714584,111,111
EN_SIMLEX-999-Ver.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.2305509390125981,0.2472174968305267,222,222
EN_WS-353-REL.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.6678075632778911,0.6489025058824339,238,252
EN_WS-353-ALL.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.7322051320072437,0.6978209328751119,335,353
EN_SIMVERB3500.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.25805587767190913,0.26327095338487727,3500,3500
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.6793417778841614,0.7173558793779866,287,287
EN_SIMLEX-999-Nou.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.40955109790397815,0.4111391620706644,666,666
EN_RG-65.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.7974341920962534,0.7925634422548488,65,65
EN_MEN-TR-3k.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.7636758545973761,0.7560102499774827,3000,3000
EN_SIMLEX-999.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.3803331627930945,0.38518551698967346,999,999
EN_MTurk-771.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.6689253094490277,0.6515096685226219,771,771
EN_YP-130.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.5332791408572932,0.5631695161920849,130,130
EN_WS-353-SIM.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.7822235793176476,0.7806724920626102,196,203
EN_VERB-143.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.39730727587681686,0.4846235094616591,144,144
EN_MC-30.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.8122844560731877,0.8314449614757418,30,30
EN_RW-STANFORD.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,na,ds_word-based,0.4866251432352584,0.46690140748732256,1990,2034
EN_SEMEVAL17.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.6420990452970892,0.6166049735993181,498,500
EN_SIMLEX-999-Adj.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,-0.09043628222231782,-0.06762743241003673,103,111
EN_SIMLEX-999-Ver.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.05925400678568448,0.04784004708606314,152,222
EN_WS-353-REL.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.25048232644217755,0.23817220644095116,250,252
EN_WS-353-ALL.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.46693187390623137,0.4253956129541905,351,353
EN_SIMVERB3500.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.042717658771834845,0.04712763457828369,2958,3500
EN_MTurk-287.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.5103716361362824,0.5127009352169053,273,287
EN_SIMLEX-999-Nou.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.38579422222036586,0.39303947778674814,664,666
EN_RG-65.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.6899908654419574,0.6924531228181705,65,65
EN_MEN-TR-3k.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.4874891338997857,0.4796769573313268,3000,3000
EN_SIMLEX-999.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.23833227631433007,0.1997614782125131,919,999
EN_MTurk-771.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.42688650628637415,0.40336580793466026,771,771
EN_YP-130.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.13606437632378898,0.12433470419631319,99,130
EN_WS-353-SIM.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.6083944679633595,0.5834211350825251,203,203
EN_VERB-143.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.039254029956736325,0.07066794064116357,55,144
EN_MC-30.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.6794431587732819,0.7100869531134727,30,30
EN_RW-STANFORD.ws.tab,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,na,ds_word-based,0.15992833874232204,0.16644744879296697,1109,2034
EN_SEMEVAL17.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.7112270352164888,0.7162466435879974,386,500
EN_SIMLEX-999-Adj.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.6218130852476468,0.6140181420201511,111,111
EN_SIMLEX-999-Ver.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.19581134065736547,0.2198788428550671,222,222
EN_WS-353-REL.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.6876127770042135,0.7012358810849416,252,252
EN_WS-353-ALL.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.737943645690361,0.7330254287429945,353,353
EN_SIMVERB3500.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.2832769511838877,0.2938757694390095,3500,3500
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.6929358323325107,0.7407640920947767,287,287
EN_SIMLEX-999-Nou.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.4281213284399311,0.46647053630901214,666,666
EN_RG-65.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.7615040851593652,0.7660247130200902,65,65
EN_MEN-TR-3k.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.8016300130301709,0.8009952461891117,3000,3000
EN_SIMLEX-999.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.40828559674258347,0.43668782214272023,999,999
EN_MTurk-771.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.7152662346409325,0.7050450767652705,771,771
EN_YP-130.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.5708470328933096,0.5551000490389486,130,130
EN_WS-353-SIM.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.8031279189530607,0.8036583549183357,203,203
EN_VERB-143.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.3414632784859371,0.4558128557315143,144,144
EN_MC-30.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.7860243010549313,0.7887863310164568,30,30
EN_RW-STANFORD.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,na,ds_word-based,0.46160986866676434,0.44916478033088725,1998,2034
EN_SEMEVAL17.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.6349406734661672,0.6337499351004011,329,500
EN_SIMLEX-999-Adj.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.600516835068234,0.5849371609161812,105,111
EN_SIMLEX-999-Ver.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.28708909377202696,0.338054600096592,222,222
EN_WS-353-REL.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.5158518589483434,0.4859902083918848,234,252
EN_WS-353-ALL.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.5883254958357871,0.5650437203294849,327,353
EN_SIMVERB3500.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.30583818936099644,0.31676208969811837,3354,3500
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.6078533315721019,0.6628765120857534,194,287
EN_SIMLEX-999-Nou.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.39411543264795,0.395502952074175,648,666
EN_RG-65.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.6141860030949343,0.628677358291571,52,65
EN_MEN-TR-3k.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.6416859192858616,0.6313408710119711,2681,3000
EN_SIMLEX-999.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.3818492265249202,0.37664101819579393,975,999
EN_MTurk-771.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.5986492791727275,0.5859853441076391,748,771
EN_YP-130.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.5456055298946014,0.5942893552700643,127,130
EN_WS-353-SIM.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.6993000976801481,0.6844195637017537,191,203
EN_VERB-143.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.08484998314853764,0.1457466614255832,85,144
EN_MC-30.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.527022925331761,0.5796550378460367,27,30
EN_RW-STANFORD.ws.tab,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,na,ds_word-based,0.5030443862306524,0.4720340025659679,845,2034
EN_SEMEVAL17.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,0.23835207853200566,0.22167397851286663,384,500
EN_SIMLEX-999-Adj.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,-0.1898690025321151,-0.26860885475404234,111,111
EN_SIMLEX-999-Ver.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,-0.06741823829829438,-0.07189358212271871,222,222
EN_WS-353-REL.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,0.20849661459989066,0.2032310374027099,252,252
EN_WS-353-ALL.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,0.22219707781589346,0.20082235421388708,353,353
EN_SIMVERB3500.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,0.040061705749556226,0.03278229326250446,3500,3500
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,0.277978509432195,0.30509403879465685,278,287
EN_SIMLEX-999-Nou.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,0.025271830935278346,-0.0030689782404698263,666,666
EN_RG-65.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,-0.05120695897392342,-0.17893566252867224,65,65
EN_MEN-TR-3k.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,0.20900664660411342,0.20243209765230039,3000,3000
EN_SIMLEX-999.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,-0.006374373590684153,-0.0538535081089452,999,999
EN_MTurk-771.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,0.14637705286934685,0.1142893971468742,771,771
EN_YP-130.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,0.10810788067948357,0.0960292083072517,130,130
EN_WS-353-SIM.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,0.3429628292910979,0.2729332222920738,203,203
EN_VERB-143.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,0.2354324849668012,0.17787110511347323,144,144
EN_MC-30.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,-0.15667075536315714,-0.3310658075982543,30,30
EN_RW-STANFORD.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,na,ds_word-based,0.13394500982774124,0.1189269859142166,1989,2034
EN_SEMEVAL17.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.4901000126284418,0.49891794706570597,305,500
EN_SIMLEX-999-Adj.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.307495905552436,0.3078999511267858,109,111
EN_SIMLEX-999-Ver.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.10891929388174847,0.12373935835814297,222,222
EN_WS-353-REL.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.46507497560466404,0.46294566556037703,242,252
EN_WS-353-ALL.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.5164752766458262,0.509378537631941,330,353
EN_SIMVERB3500.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.1545687865710988,0.1599418248036258,3186,3500
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.5186049106597771,0.5698626444869024,202,287
EN_SIMLEX-999-Nou.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.25783375411974824,0.25205428915697614,622,666
EN_RG-65.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.44251463376199923,0.45088457795028125,43,65
EN_MEN-TR-3k.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.5091689942644212,0.50592678559879,2270,3000
EN_SIMLEX-999.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.22641557565293147,0.22244378376451682,953,999
EN_MTurk-771.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.41566368303520285,0.4232340598044365,720,771
EN_YP-130.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.3828965087330072,0.3791430868521702,123,130
EN_WS-353-SIM.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.6293270361376868,0.6122416917546616,185,203
EN_VERB-143.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.11630143939479201,0.2626735729015448,144,144
EN_MC-30.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.5314883013407993,0.5095977078544252,22,30
EN_RW-STANFORD.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,na,ds_word-based,0.3558950060139626,0.338987741514318,1033,2034
